petal length (cm),sepal length (cm),Target Variable,Target Variable Label
1.4,5.1,0,setosa
1.4,4.9,0,setosa
1.3,4.7,0,setosa
1.5,4.6,0,setosa
1.4,5.0,0,setosa
1.7,5.4,0,setosa
1.4,4.6,0,setosa
1.5,5.0,0,setosa
1.4,4.4,0,setosa
1.5,4.9,0,setosa
1.5,5.4,0,setosa
1.6,4.8,0,setosa
1.4,4.8,0,setosa
1.1,4.3,0,setosa
1.2,5.8,0,setosa
1.5,5.7,0,setosa
1.3,5.4,0,setosa
1.4,5.1,0,setosa
1.7,5.7,0,setosa
1.5,5.1,0,setosa
1.7,5.4,0,setosa
1.5,5.1,0,setosa
1.0,4.6,0,setosa
1.7,5.1,0,setosa
1.9,4.8,0,setosa
1.6,5.0,0,setosa
1.6,5.0,0,setosa
1.5,5.2,0,setosa
1.4,5.2,0,setosa
1.6,4.7,0,setosa
1.6,4.8,0,setosa
1.5,5.4,0,setosa
1.5,5.2,0,setosa
1.4,5.5,0,setosa
1.5,4.9,0,setosa
1.2,5.0,0,setosa
1.3,5.5,0,setosa
1.4,4.9,0,setosa
1.3,4.4,0,setosa
1.5,5.1,0,setosa
1.3,5.0,0,setosa
1.3,4.5,0,setosa
1.3,4.4,0,setosa
1.6,5.0,0,setosa
1.9,5.1,0,setosa
1.4,4.8,0,setosa
1.6,5.1,0,setosa
1.4,4.6,0,setosa
1.5,5.3,0,setosa
1.4,5.0,0,setosa
4.7,7.0,1,versicolor
4.5,6.4,1,versicolor
4.9,6.9,1,versicolor
4.0,5.5,1,versicolor
4.6,6.5,1,versicolor
4.5,5.7,1,versicolor
4.7,6.3,1,versicolor
3.3,4.9,1,versicolor
4.6,6.6,1,versicolor
3.9,5.2,1,versicolor
3.5,5.0,1,versicolor
4.2,5.9,1,versicolor
4.0,6.0,1,versicolor
4.7,6.1,1,versicolor
3.6,5.6,1,versicolor
4.4,6.7,1,versicolor
4.5,5.6,1,versicolor
4.1,5.8,1,versicolor
4.5,6.2,1,versicolor
3.9,5.6,1,versicolor
4.8,5.9,1,versicolor
4.0,6.1,1,versicolor
4.9,6.3,1,versicolor
4.7,6.1,1,versicolor
4.3,6.4,1,versicolor
4.4,6.6,1,versicolor
4.8,6.8,1,versicolor
5.0,6.7,1,versicolor
4.5,6.0,1,versicolor
3.5,5.7,1,versicolor
3.8,5.5,1,versicolor
3.7,5.5,1,versicolor
3.9,5.8,1,versicolor
5.1,6.0,1,versicolor
4.5,5.4,1,versicolor
4.5,6.0,1,versicolor
4.7,6.7,1,versicolor
4.4,6.3,1,versicolor
4.1,5.6,1,versicolor
4.0,5.5,1,versicolor
4.4,5.5,1,versicolor
4.6,6.1,1,versicolor
4.0,5.8,1,versicolor
3.3,5.0,1,versicolor
4.2,5.6,1,versicolor
4.2,5.7,1,versicolor
4.2,5.7,1,versicolor
4.3,6.2,1,versicolor
3.0,5.1,1,versicolor
4.1,5.7,1,versicolor
6.0,6.3,2,virginica
5.1,5.8,2,virginica
5.9,7.1,2,virginica
5.6,6.3,2,virginica
5.8,6.5,2,virginica
6.6,7.6,2,virginica
4.5,4.9,2,virginica
6.3,7.3,2,virginica
5.8,6.7,2,virginica
6.1,7.2,2,virginica
5.1,6.5,2,virginica
5.3,6.4,2,virginica
5.5,6.8,2,virginica
5.0,5.7,2,virginica
5.1,5.8,2,virginica
5.3,6.4,2,virginica
5.5,6.5,2,virginica
6.7,7.7,2,virginica
6.9,7.7,2,virginica
5.0,6.0,2,virginica
5.7,6.9,2,virginica
4.9,5.6,2,virginica
6.7,7.7,2,virginica
4.9,6.3,2,virginica
5.7,6.7,2,virginica
6.0,7.2,2,virginica
4.8,6.2,2,virginica
4.9,6.1,2,virginica
5.6,6.4,2,virginica
5.8,7.2,2,virginica
6.1,7.4,2,virginica
6.4,7.9,2,virginica
5.6,6.4,2,virginica
5.1,6.3,2,virginica
5.6,6.1,2,virginica
6.1,7.7,2,virginica
5.6,6.3,2,virginica
5.5,6.4,2,virginica
4.8,6.0,2,virginica
5.4,6.9,2,virginica
5.6,6.7,2,virginica
5.1,6.9,2,virginica
5.1,5.8,2,virginica
5.9,6.8,2,virginica
5.7,6.7,2,virginica
5.2,6.7,2,virginica
5.0,6.3,2,virginica
5.2,6.5,2,virginica
5.4,6.2,2,virginica
5.1,5.9,2,virginica
