artists,popularity,duration_ms,danceability,speechiness,acousticness,valence,tempo,track_genre
10357.0,73.0,230666.0,0.676,0.143,0.0322,0.715,87.917,acoustic
3287.0,55.0,149610.0,0.42,0.0763,0.924,0.267,77.489,acoustic
12397.0,57.0,210826.0,0.438,0.0557,0.21,0.12,76.332,acoustic
14839.0,71.0,201933.0,0.266,0.0363,0.905,0.143,181.74,acoustic
5255.0,82.0,198853.0,0.618,0.0526,0.469,0.167,119.949,acoustic
28649.0,58.0,214240.0,0.688,0.105,0.289,0.666,98.017,acoustic
204.0,74.0,229400.0,0.407,0.0355,0.857,0.0765,141.284,acoustic
12981.0,80.0,242946.0,0.703,0.0417,0.559,0.712,150.96,acoustic
12982.0,74.0,189613.0,0.625,0.0369,0.294,0.669,130.088,acoustic
23455.0,56.0,205594.0,0.442,0.0295,0.426,0.196,78.899,acoustic
15991.0,64.0,168000.0,0.443,0.266,0.241,0.628,128.25,afrobeat
5877.0,44.0,318360.0,0.58,0.345,0.281,0.483,81.303,afrobeat
5877.0,42.0,171989.0,0.805,0.185,0.238,0.717,127.922,afrobeat
5877.0,46.0,205440.0,0.582,0.0544,0.399,0.484,83.789,afrobeat
5877.0,44.0,220800.0,0.776,0.034,0.881,0.476,124.055,afrobeat
5877.0,43.0,258359.0,0.711,0.0514,0.679,0.679,90.91,afrobeat
5883.0,41.0,254520.0,0.637,0.281,0.19,0.599,90.571,afrobeat
2912.0,39.0,261400.0,0.79,0.0268,0.243,0.914,124.03,afrobeat
21622.0,40.0,244933.0,0.797,0.131,0.00375,0.913,142.035,afrobeat
5877.0,43.0,172440.0,0.506,0.316,0.194,0.676,124.218,afrobeat
27421.0,87.0,260173.0,0.588,0.0329,0.0678,0.337,85.012,alt-rock
17022.0,83.0,299960.0,0.705,0.0385,0.0102,0.62,97.512,alt-rock
27421.0,86.0,206280.0,0.575,0.03,0.0484,0.37,93.986,alt-rock
27421.0,93.0,240400.0,0.612,0.0336,0.0495,0.398,124.053,alt-rock
27421.0,83.0,153000.0,0.551,0.0542,0.186,0.387,88.036,alt-rock
24123.0,76.0,180690.0,0.573,0.0322,0.0162,0.39,75.012,alt-rock
20020.0,76.0,232146.0,0.427,0.0317,0.745,0.0668,105.218,alt-rock
14155.0,78.0,213706.0,0.489,0.117,0.579,0.337,163.255,alt-rock
27580.0,73.0,192106.0,0.485,0.0467,0.00129,0.602,78.001,alt-rock
20020.0,83.0,301920.0,0.502,0.0564,2.55e-05,0.72,116.761,alt-rock
27421.0,87.0,260173.0,0.588,0.0329,0.0678,0.337,85.012,alternative
1353.0,79.0,204763.0,0.87,0.0602,0.433,0.319,110.02,alternative
27421.0,86.0,206280.0,0.575,0.03,0.0484,0.37,93.986,alternative
27421.0,93.0,240400.0,0.612,0.0336,0.0495,0.398,124.053,alternative
10131.0,86.0,168601.0,0.695,0.0493,0.299,0.415,121.932,alternative
26468.0,81.0,162680.0,0.773,0.0299,0.0153,0.399,94.995,alternative
16049.0,85.0,216880.0,0.556,0.0584,0.00958,0.4,105.143,alternative
16049.0,83.0,185586.0,0.496,0.0381,0.0046,0.243,110.018,alternative
3242.0,76.0,122772.0,0.855,0.0367,0.217,0.866,102.931,alternative
20457.0,79.0,161803.0,0.7,0.076,0.186,0.569,79.982,alternative
5442.0,78.0,320030.0,0.454,0.0265,0.139,0.327,93.719,ambient
5442.0,63.0,269933.0,0.521,0.026,0.754,0.232,80.388,ambient
5442.0,84.0,290616.0,0.37,0.0273,0.0205,0.182,94.485,ambient
5442.0,76.0,256799.0,0.406,0.0278,0.756,0.163,142.83,ambient
5442.0,75.0,292110.0,0.45,0.0276,0.353,0.115,96.563,ambient
5442.0,78.0,215150.0,0.405,0.0301,0.0527,0.131,75.37,ambient
2060.0,60.0,256786.0,0.484,0.0456,0.406,0.187,87.159,ambient
20197.0,69.0,192866.0,0.409,0.0296,0.947,0.173,89.877,ambient
25349.0,72.0,255893.0,0.307,0.0288,0.923,0.189,115.241,ambient
5442.0,72.0,286293.0,0.508,0.0265,0.259,0.101,96.818,ambient
31364.0,71.0,251933.0,0.541,0.0551,0.0122,0.524,129.138,anime
14158.0,73.0,240133.0,0.436,0.0507,1.03e-05,0.384,91.481,anime
