explicit,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,track_genre
0.0,0.676,0.461,0.143,0.0322,1.01e-06,0.358,0.715,4.0,0
0.0,0.42,0.166,0.0763,0.924,5.56e-06,0.101,0.267,4.0,0
0.0,0.438,0.359,0.0557,0.21,0.0,0.117,0.12,4.0,0
0.0,0.266,0.0596,0.0363,0.905,7.07e-05,0.132,0.143,3.0,0
0.0,0.618,0.443,0.0526,0.469,0.0,0.0829,0.167,4.0,0
0.0,0.688,0.481,0.105,0.289,0.0,0.189,0.666,4.0,0
0.0,0.407,0.147,0.0355,0.857,2.89e-06,0.0913,0.0765,3.0,0
0.0,0.703,0.444,0.0417,0.559,0.0,0.0973,0.712,4.0,0
0.0,0.625,0.414,0.0369,0.294,0.0,0.151,0.669,4.0,0
0.0,0.442,0.632,0.0295,0.426,0.00419,0.0735,0.196,4.0,0
0.0,0.443,0.778,0.266,0.241,0.0,0.215,0.628,5.0,1
0.0,0.58,0.8,0.345,0.281,0.0,0.0708,0.483,4.0,1
0.0,0.805,0.746,0.185,0.238,0.0,0.215,0.717,4.0,1
0.0,0.582,0.66,0.0544,0.399,0.0,0.127,0.484,4.0,1
0.0,0.776,0.314,0.034,0.881,0.000723,0.139,0.476,4.0,1
0.0,0.711,0.515,0.0514,0.679,0.000324,0.0971,0.679,4.0,1
0.0,0.637,0.818,0.281,0.19,0.0,0.102,0.599,4.0,1
0.0,0.79,0.814,0.0268,0.243,0.0102,0.528,0.914,4.0,1
0.0,0.797,0.609,0.131,0.00375,0.0191,0.128,0.913,4.0,1
0.0,0.506,0.876,0.316,0.194,1.86e-06,0.353,0.676,5.0,1
0.0,0.588,0.521,0.0329,0.0678,0.149,0.123,0.337,4.0,2
0.0,0.705,0.712,0.0385,0.0102,0.000855,0.1,0.62,4.0,2
0.0,0.575,0.568,0.03,0.0484,0.000417,0.286,0.37,4.0,2
0.0,0.612,0.807,0.0336,0.0495,0.0177,0.101,0.398,4.0,2
0.0,0.551,0.881,0.0542,0.186,0.0791,0.152,0.387,4.0,2
0.0,0.573,0.539,0.0322,0.0162,1.16e-05,0.105,0.39,4.0,2
0.0,0.427,0.201,0.0317,0.745,0.263,0.109,0.0668,4.0,2
0.0,0.489,0.505,0.117,0.579,0.000333,0.104,0.337,4.0,2
0.0,0.485,0.843,0.0467,0.00129,1.01e-05,0.14,0.602,4.0,2
0.0,0.502,0.912,0.0564,2.55e-05,0.000173,0.106,0.72,4.0,2
0.0,0.588,0.521,0.0329,0.0678,0.149,0.123,0.337,4.0,3
1.0,0.87,0.523,0.0602,0.433,2.07e-05,0.113,0.319,4.0,3
0.0,0.575,0.568,0.03,0.0484,0.000417,0.286,0.37,4.0,3
0.0,0.612,0.807,0.0336,0.0495,0.0177,0.101,0.398,4.0,3
1.0,0.695,0.54,0.0493,0.299,0.0,0.367,0.415,4.0,3
1.0,0.773,0.47,0.0299,0.0153,0.000193,0.0851,0.399,4.0,3
0.0,0.556,0.864,0.0584,0.00958,0.0,0.209,0.4,4.0,3
0.0,0.496,0.863,0.0381,0.0046,0.0,0.639,0.243,4.0,3
1.0,0.855,0.463,0.0367,0.217,1.77e-05,0.347,0.866,4.0,3
0.0,0.7,0.49,0.076,0.186,0.0,0.117,0.569,4.0,3
0.0,0.454,0.4,0.0265,0.139,0.846,0.137,0.327,4.0,4
1.0,0.521,0.298,0.026,0.754,0.46,0.11,0.232,4.0,4
0.0,0.37,0.467,0.0273,0.0205,0.572,0.109,0.182,4.0,4
0.0,0.406,0.399,0.0278,0.756,0.678,0.112,0.163,4.0,4
0.0,0.45,0.511,0.0276,0.353,0.766,0.139,0.115,4.0,4
0.0,0.405,0.479,0.0301,0.0527,0.795,0.0974,0.131,4.0,4
0.0,0.484,0.457,0.0456,0.406,0.646,0.297,0.187,4.0,4
0.0,0.409,0.223,0.0296,0.947,0.0123,0.0635,0.173,4.0,4
0.0,0.307,0.371,0.0288,0.923,0.0253,0.11,0.189,3.0,4
0.0,0.508,0.33,0.0265,0.259,0.154,0.114,0.101,4.0,4
0.0,0.541,0.846,0.0551,0.0122,0.000149,0.163,0.524,4.0,5
0.0,0.436,0.934,0.0507,1.03e-05,0.14,0.321,0.384,4.0,5
0.0,0.577,0.941,0.105,0.00207,3.36e-06,0.0891,0.292,4.0,5
0.0,0.508,0.889,0.0862,0.0495,0.0,0.0984,0.332,4.0,5
0.0,0.691,0.773,0.0494,0.0174,0.000451,0.117,0.502,4.0,5
0.0,0.584,0.911,0.09,0.0119,0.0,0.119,0.606,4.0,5
0.0,0.593,0.935,0.0684,0.00221,0.0,0.315,0.618,4.0,5
0.0,0.6,0.713,0.0592,0.0642,0.0,0.142,0.471,4.0,5
0.0,0.159,0.197,0.0312,0.505,0.94,0.127,0.125,3.0,5
0.0,0.536,0.966,0.0558,0.121,0.0,0.0477,0.849,4.0,5
0.0,0.428,0.972,0.0666,7.16e-05,0.0736,0.0787,0.225,4.0,6
1.0,0.25,0.952,0.209,2.45e-05,0.0135,0.0892,0.126,3.0,6
0.0,0.468,0.913,0.072,0.0265,0.0769,0.0787,0.187,4.0,6
0.0,0.144,0.466,0.0522,0.686,0.423,0.0764,0.0737,4.0,6
0.0,0.462,0.905,0.0438,0.00066,0.0402,0.0839,0.253,3.0,6
0.0,0.174,0.664,0.0789,0.00128,0.264,0.0543,0.0371,3.0,6
0.0,0.219,0.908,0.1,1.92e-06,0.933,0.319,0.208,3.0,6
0.0,0.571,0.853,0.0303,3.37e-05,0.126,0.0919,0.648,4.0,6
0.0,0.387,0.809,0.0526,5.03e-05,0.831,0.0832,0.0706,4.0,6
