citric acid,total sulfur dioxide,density,sulphates,alcohol,Id,quality
0.0,34.0,0.9978,0.56,9.4,0.0,5
0.0,67.0,0.9968,0.68,9.8,1.0,5
0.04,54.0,0.997,0.65,9.8,2.0,5
0.56,60.0,0.998,0.58,9.8,3.0,6
0.0,34.0,0.9978,0.56,9.4,4.0,5
0.0,40.0,0.9978,0.56,9.4,5.0,5
0.06,59.0,0.9964,0.46,9.4,6.0,5
0.0,21.0,0.9946,0.47,10.0,7.0,7
0.02,18.0,0.9968,0.57,9.5,8.0,7
0.08,65.0,0.9959,0.54,9.2,10.0,5
0.0,59.0,0.9943,0.52,9.9,12.0,5
0.29,29.0,0.9974,1.56,9.1,13.0,5
0.56,103.0,0.9969,0.75,10.5,16.0,7
0.51,56.0,0.9969,1.08,9.2,19.0,6
0.31,71.0,0.9982,0.65,9.7,21.0,5
0.21,37.0,0.9966,0.91,9.5,22.0,5
0.11,67.0,0.9968,0.53,9.4,23.0,5
0.14,40.0,0.9968,0.63,9.7,24.0,6
0.16,23.0,0.9955,0.56,9.3,25.0,5
0.24,11.0,0.9962,0.59,9.5,26.0,5
0.0,35.0,0.9972,0.55,9.4,28.0,5
0.0,16.0,0.9964,0.59,9.8,29.0,6
0.07,82.0,0.9958,0.54,10.1,30.0,5
0.12,113.0,0.9966,0.66,9.8,32.0,5
0.25,50.0,0.9957,0.55,9.2,34.0,5
0.0,18.0,0.9986,0.55,9.6,35.0,6
0.14,15.0,0.9975,0.6,10.8,36.0,6
0.28,30.0,0.9968,0.73,9.7,37.0,7
0.36,87.0,0.9978,0.83,10.5,40.0,5
0.3,46.0,0.9976,0.51,9.3,41.0,4
0.2,14.0,0.9968,0.9,10.5,42.0,6
0.22,23.0,0.9968,1.2,10.3,43.0,5
0.15,65.0,0.9934,0.56,13.1,45.0,4
0.43,114.0,0.997,0.73,9.2,46.0,5
0.26,23.0,0.9971,0.74,9.2,50.0,5
0.04,15.0,0.9956,0.63,9.4,51.0,6
0.04,14.0,0.9955,0.64,9.4,52.0,6
0.36,119.0,0.997,0.56,9.4,53.0,5
0.15,73.0,0.9955,0.63,10.2,54.0,6
0.57,10.0,0.9971,0.63,9.6,56.0,5
0.18,54.0,0.9975,0.59,10.0,58.0,5
0.31,46.0,0.9962,0.54,9.4,59.0,6
0.4,52.0,0.998,0.64,9.2,60.0,5
