volatile acidity,chlorides,pH,sulphates,alcohol,quality
0.7,0.076,3.51,0.56,9.4,5
0.88,0.098,3.2,0.68,9.8,5
0.76,0.092,3.26,0.65,9.8,5
0.28,0.075,3.16,0.58,9.8,6
0.7,0.076,3.51,0.56,9.4,5
0.66,0.075,3.51,0.56,9.4,5
0.6,0.069,3.3,0.46,9.4,5
0.65,0.065,3.39,0.47,10.0,7
0.58,0.073,3.36,0.57,9.5,7
0.58,0.097,3.28,0.54,9.2,5
0.615,0.089,3.58,0.52,9.9,5
0.61,0.114,3.26,1.56,9.1,5
0.28,0.092,3.3,0.75,10.5,7
0.32,0.341,3.04,1.08,9.2,6
0.39,0.082,3.52,0.65,9.7,5
0.43,0.106,3.17,0.91,9.5,5
0.49,0.084,3.17,0.53,9.4,5
0.4,0.085,3.43,0.63,9.7,6
0.39,0.08,3.34,0.56,9.3,5
0.41,0.08,3.28,0.59,9.5,5
0.71,0.08,3.47,0.55,9.4,5
0.645,0.082,3.38,0.59,9.8,6
0.675,0.089,3.35,0.54,10.1,5
0.655,0.083,3.17,0.66,9.8,5
0.32,0.103,3.38,0.55,9.2,5
0.645,0.086,3.4,0.55,9.6,6
0.6,0.086,3.42,0.6,10.8,6
0.38,0.066,3.23,0.73,9.7,7
0.45,0.074,3.33,0.83,10.5,5
0.61,0.088,3.26,0.51,9.3,4
0.49,0.332,3.21,0.9,10.5,6
0.66,0.069,3.3,1.2,10.3,5
0.52,0.054,3.9,0.56,13.1,4
0.935,0.114,3.25,0.73,9.2,5
0.66,0.074,3.15,0.74,9.2,5
0.52,0.069,3.4,0.63,9.4,6
0.5,0.068,3.39,0.64,9.4,6
0.38,0.081,3.2,0.56,9.4,5
0.51,0.11,3.17,0.63,10.2,6
0.42,0.07,3.04,0.63,9.6,5
0.59,0.076,3.43,0.59,10.0,5
0.39,0.074,3.41,0.54,9.4,6
0.4,0.079,3.44,0.64,9.2,5
0.69,0.115,3.21,0.71,9.3,5
0.735,0.081,3.39,0.57,9.8,5
0.725,0.086,3.41,0.39,10.9,5
0.725,0.086,3.41,0.39,10.9,5
0.705,0.076,3.44,0.58,10.7,5
0.705,0.074,3.34,0.95,10.5,6
0.69,0.084,3.31,0.48,9.5,5
0.675,0.084,3.31,0.53,9.2,4
0.41,0.093,3.54,0.66,10.5,5
0.785,0.104,3.52,0.55,10.7,6
0.75,0.086,3.38,0.52,10.1,5
0.625,0.08,3.16,1.12,9.1,4
0.45,0.069,3.41,0.56,9.2,5
0.5,0.086,3.36,0.57,9.1,5
0.3,0.069,3.44,0.78,10.3,6
0.55,0.076,3.41,0.59,10.1,5
0.49,0.11,2.93,1.95,9.9,6
0.49,0.062,3.39,0.64,9.6,5
0.39,0.107,3.14,1.22,9.5,5
0.62,0.076,3.48,0.53,9.0,5
0.52,0.079,3.23,0.54,9.5,5
0.49,0.11,2.93,1.95,9.9,6
